Experiment,Timestamp,temperature [C],delta_t [C/s],notes
1,1751970793784235000,1.0540000200271606,-0.010516962321544992,"plastica, thick 1.6mm, temp 38C"
1,1751970793884858846,1.0470000505447388,-0.02533518891991262,"plastica, thick 1.6mm, temp 38C"
1,1751970793985019683,1.0429999828338623,-0.03751607482989825,"plastica, thick 1.6mm, temp 38C"
1,1751970794084841012,1.0399999618530273,-0.04550829995660313,"plastica, thick 1.6mm, temp 38C"
1,1751970794185014963,1.034999966621399,-0.054328734689525426,"plastica, thick 1.6mm, temp 38C"
1,1751970794284689664,1.031000018119812,-0.06096106888945664,"plastica, thick 1.6mm, temp 38C"
1,1751970794384932279,1.0269999504089355,-0.06592453832694967,"plastica, thick 1.6mm, temp 38C"
1,1751970794484827041,1.0240000486373901,-0.06782325309067752,"plastica, thick 1.6mm, temp 38C"
1,1751970794584921121,1.0210000276565552,-0.06804956831224585,"plastica, thick 1.6mm, temp 38C"
1,1751970794684869289,1.0169999599456787,-0.06923612350228955,"plastica, thick 1.6mm, temp 38C"
1,1751970794784598350,1.0140000581741333,-0.06898610761898684,"plastica, thick 1.6mm, temp 38C"
1,1751970794884840250,1.0119999647140503,-0.06625501837860905,"plastica, thick 1.6mm, temp 38C"
1,1751970794984881401,1.0089999437332153,-0.06435387076225224,"plastica, thick 1.6mm, temp 38C"
1,1751970795084900379,1.0049999952316284,-0.06483036736449149,"plastica, thick 1.6mm, temp 38C"
1,1751970795184899568,1.003999948501587,-0.061029201750858963,"plastica, thick 1.6mm, temp 38C"
1,1751970795284838199,1.003000020980835,-0.055473871979955354,"plastica, thick 1.6mm, temp 38C"
1,1751970795384881734,1.0,-0.05315914967951932,"plastica, thick 1.6mm, temp 38C"
1,1751970795484852075,0.996999979019165,-0.052640650046651846,"plastica, thick 1.6mm, temp 38C"
1,1751970795584616184,0.9950000047683716,-0.05124888037377629,"plastica, thick 1.6mm, temp 38C"
1,1751970795684974670,0.9950000047683716,-0.04595451400042752,"plastica, thick 1.6mm, temp 38C"
1,1751970795884907007,0.9929999709129333,-0.04282442915723693,"plastica, thick 1.6mm, temp 38C"
1,1751970795984843492,0.9919999837875366,-0.03923646578563632,"plastica, thick 1.6mm, temp 38C"
1,1751970796084973812,0.9890000224113464,-0.039347012289987014,"plastica, thick 1.6mm, temp 38C"
1,1751970796185014724,0.9890000224113464,-0.03585994897101988,"plastica, thick 1.6mm, temp 38C"
1,1751970796284917593,0.9879999756813049,-0.0327239766514089,"plastica, thick 1.6mm, temp 38C"
1,1751970796384988784,0.9860000014305115,-0.031842145967600786,"plastica, thick 1.6mm, temp 38C"
1,1751970796484916925,0.984000027179718,-0.032144209446879,"plastica, thick 1.6mm, temp 38C"
1,1751970796584885835,0.984000027179718,-0.02939924170150637,"plastica, thick 1.6mm, temp 38C"
1,1751970796685103178,0.9829999804496765,-0.027208359867212824,"plastica, thick 1.6mm, temp 38C"
1,1751970796784883022,0.9800000190734863,-0.029086005857502192,"plastica, thick 1.6mm, temp 38C"
1,1751970796884864807,0.9789999723434448,-0.029188395979643452,"plastica, thick 1.6mm, temp 38C"
1,1751970796984859228,0.9789999723434448,-0.026611611501324857,"plastica, thick 1.6mm, temp 38C"
1,1751970797084931135,0.9779999852180481,-0.024753918897543553,"plastica, thick 1.6mm, temp 38C"
1,1751970797185017824,0.9760000109672546,-0.02521575047234,"plastica, thick 1.6mm, temp 38C"
1,1751970797284908056,0.9750000238418579,-0.02497260722719366,"plastica, thick 1.6mm, temp 38C"
1,1751970797384982347,0.9750000238418579,-0.022605932386624523,"plastica, thick 1.6mm, temp 38C"
1,1751970797484679698,0.9739999771118164,-0.021211811914024287,"plastica, thick 1.6mm, temp 38C"
1,1751970797584826469,0.972000002861023,-0.022219583461616305,"plastica, thick 1.6mm, temp 38C"
1,1751970797684878349,0.972000002861023,-0.020713629008390983,"plastica, thick 1.6mm, temp 38C"
1,1751970797784533739,0.972000002861023,-0.018111484715555442,"plastica, thick 1.6mm, temp 38C"
1,1751970797984981298,0.9700000286102295,-0.018806354039094347,"plastica, thick 1.6mm, temp 38C"
1,1751970798084881067,0.9679999947547913,-0.021054329083898777,"plastica, thick 1.6mm, temp 38C"
1,1751970798184862613,0.9679999947547913,-0.020260947238302036,"plastica, thick 1.6mm, temp 38C"
1,1751970798284918308,0.9679999947547913,-0.018048704882512496,"plastica, thick 1.6mm, temp 38C"
1,1751970798384546041,0.9679999947547913,-0.015340322688749502,"plastica, thick 1.6mm, temp 38C"
1,1751970798484631299,0.9670000076293945,-0.014432563197532238,"plastica, thick 1.6mm, temp 38C"
1,1751970798584856986,0.9649999737739563,-0.016288891298846725,"plastica, thick 1.6mm, temp 38C"
1,1751970798684972286,0.9649999737739563,-0.015732491851594803,"plastica, thick 1.6mm, temp 38C"
1,1751970798785082578,0.9649999737739563,-0.014043931855797801,"plastica, thick 1.6mm, temp 38C"
1,1751970798884884834,0.9629999995231628,-0.015552537242263647,"plastica, thick 1.6mm, temp 38C"
1,1751970798984832525,0.9620000123977661,-0.016692002355542405,"plastica, thick 1.6mm, temp 38C"
1,1751970799084869146,0.9620000123977661,-0.01574806004905019,"plastica, thick 1.6mm, temp 38C"
1,1751970799185030221,0.9610000252723694,-0.01566817974016868,"plastica, thick 1.6mm, temp 38C"
1,1751970799284880161,0.9599999785423279,-0.01601898632627628,"plastica, thick 1.6mm, temp 38C"
1,1751970799384900331,0.9599999785423279,-0.01474917278410413,"plastica, thick 1.6mm, temp 38C"
1,1751970799484923839,0.9599999785423279,-0.012799538597870423,"plastica, thick 1.6mm, temp 38C"
1,1751970799584908246,0.9599999785423279,-0.010692259372807735,"plastica, thick 1.6mm, temp 38C"
1,1751970799684871435,0.9580000042915344,-0.012297342860402497,"plastica, thick 1.6mm, temp 38C"
1,1751970799784465551,0.9559999704360962,-0.015577133851676476,"plastica, thick 1.6mm, temp 38C"
1,1751970799885001659,0.9570000171661377,-0.013982205276675133,"plastica, thick 1.6mm, temp 38C"
1,1751970800084890842,0.9559999704360962,-0.013742375914098551,"plastica, thick 1.6mm, temp 38C"
1,1751970800184888601,0.9559999704360962,-0.012388045694167075,"plastica, thick 1.6mm, temp 38C"
1,1751970800284646987,0.9549999833106995,-0.012409476599639715,"plastica, thick 1.6mm, temp 38C"
1,1751970800384881973,0.9549999833106995,-0.011303124849353766,"plastica, thick 1.6mm, temp 38C"
1,1751970800484875440,0.9539999961853027,-0.01154370808098593,"plastica, thick 1.6mm, temp 38C"
1,1751970800585018396,0.9539999961853027,-0.010622660137196952,"plastica, thick 1.6mm, temp 38C"
1,1751970800684884309,0.953000009059906,-0.01101528405810686,"plastica, thick 1.6mm, temp 38C"
1,1751970800784748554,0.953000009059906,-0.01021629421412305,"plastica, thick 1.6mm, temp 38C"
1,1751970800884958028,0.9520000219345093,-0.010705299537013983,"plastica, thick 1.6mm, temp 38C"
1,1751970800984841108,0.9520000219345093,-0.009981435186899161,"plastica, thick 1.6mm, temp 38C"
1,1751970801084852457,0.949999988079071,-0.012328473428310787,"plastica, thick 1.6mm, temp 38C"
1,1751970801184964418,0.9509999752044678,-0.010568982732340398,"plastica, thick 1.6mm, temp 38C"
1,1751970801284652709,0.9509999752044678,-0.00875562384540434,"plastica, thick 1.6mm, temp 38C"
1,1751970801384871959,0.949999988079071,-0.008879048670433303,"plastica, thick 1.6mm, temp 38C"
1,1751970801484871864,0.9490000009536743,-0.009940389280072553,"plastica, thick 1.6mm, temp 38C"
1,1751970801584618806,0.9490000009536743,-0.009565811143589214,"plastica, thick 1.6mm, temp 38C"
1,1751970801684902667,0.9490000009536743,-0.008521344853789397,"plastica, thick 1.6mm, temp 38C"
1,1751970801784717559,0.9490000009536743,-0.007242635334946539,"plastica, thick 1.6mm, temp 38C"
1,1751970801884563684,0.9470000267028809,-0.009564184141996562,"plastica, thick 1.6mm, temp 38C"
1,1751970801984891414,0.9470000267028809,-0.009840966484671415,"plastica, thick 1.6mm, temp 38C"
1,1751970802184896469,0.9470000267028809,-0.009090902848961796,"plastica, thick 1.6mm, temp 38C"
1,1751970802284607410,0.9470000267028809,-0.007905190411057356,"plastica, thick 1.6mm, temp 38C"
1,1751970802384854793,0.9449999928474426,-0.010212785119277751,"plastica, thick 1.6mm, temp 38C"
1,1751970802484899759,0.9459999799728394,-0.00862437903985665,"plastica, thick 1.6mm, temp 38C"
1,1751970802584942102,0.9459999799728394,-0.007069865947353177,"plastica, thick 1.6mm, temp 38C"
1,1751970802684892654,0.9440000057220459,-0.00927182024819296,"plastica, thick 1.6mm, temp 38C"
1,1751970802784881591,0.9430000185966492,-0.011316290858981101,"plastica, thick 1.6mm, temp 38C"
1,1751970802884763956,0.9430000185966492,-0.011299615280959071,"plastica, thick 1.6mm, temp 38C"
